;date;trend;cap;yhat_lower;yhat_upper;trend_lower;trend_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yearly;yearly_lower;yearly_upper;additive_terms;additive_terms_lower;additive_terms_upper;yhat
0;17.09.2014;6.168362678;13.69269124;191.1622448;363.635081;6.168362678;6.168362678;-0.010338025;-0.010338025;-0.010338025;-0.010338025;-0.010338025;-0.010338025;0;0;0;261.6442673
1;18.09.2014;6.168422209;13.69269124;188.7057245;358.5761342;6.168422209;6.168422209;-0.010460851;-0.010460851;-0.010460851;-0.010460851;-0.010460851;-0.010460851;0;0;0;261.491856
2;19.09.2014;6.16848174;13.69269124;187.4917244;360.5660431;6.16848174;6.16848174;-0.010585098;-0.010585098;-0.010585098;-0.010585098;-0.010585098;-0.010585098;0;0;0;261.3376161
3;20.09.2014;6.16854127;13.69269124;190.9280617;363.0227425;6.16854127;6.16854127;-0.010711451;-0.010711451;-0.010711451;-0.010711451;-0.010711451;-0.010711451;0;0;0;261.1806334
4;21.09.2014;6.168600801;13.69269124;188.5674826;352.3752585;6.168600801;6.168600801;-0.010839909;-0.010839909;-0.010839909;-0.010839909;-0.010839909;-0.010839909;0;0;0;261.02091
5;22.09.2014;6.168660332;13.69269124;191.0884598;359.8495568;6.168660332;6.168660332;-0.010969744;-0.010969744;-0.010969744;-0.010969744;-0.010969744;-0.010969744;0;0;0;260.8594313
6;23.09.2014;6.168719863;13.69269124;187.5598597;357.5347235;6.168719863;6.168719863;-0.011099461;-0.011099461;-0.011099461;-0.011099461;-0.011099461;-0.011099461;0;0;0;260.6982042
7;24.09.2014;6.168779394;13.69269124;193.8181941;357.4426941;6.168779394;6.168779394;-0.011226795;-0.011226795;-0.011226795;-0.011226795;-0.011226795;-0.011226795;0;0;0;260.5402633
8;25.09.2014;6.168838925;13.69269124;189.8711655;361.7771977;6.168838925;6.168838925;-0.011348731;-0.011348731;-0.011348731;-0.011348731;-0.011348731;-0.011348731;0;0;0;260.3896448
9;26.09.2014;6.168898457;13.69269124;188.6681288;351.2516316;6.168898457;6.168898457;-0.01146154;-0.01146154;-0.01146154;-0.01146154;-0.01146154;-0.01146154;0;0;0;260.2513275
10;27.09.2014;6.168957988;13.69269124;185.8102921;347.0484654;6.168957988;6.168957988;-0.011560853;-0.011560853;-0.011560853;-0.011560853;-0.011560853;-0.011560853;0;0;0;260.1311422
11;28.09.2014;6.16901752;13.69269124;185.7809567;364.3946958;6.16901752;6.16901752;-0.011641747;-0.011641747;-0.011641747;-0.011641747;-0.011641747;-0.011641747;0;0;0;260.0356514
12;29.09.2014;6.169077051;13.69269124;191.4913313;358.8376547;6.169077051;6.169077051;-0.01169886;-0.01169886;-0.01169886;-0.01169886;-0.01169886;-0.01169886;0;0;0;259.9720025
13;30.09.2014;6.169136583;13.69269124;190.8047171;365.9176145;6.169136583;6.169136583;-0.011726522;-0.011726522;-0.011726522;-0.011726522;-0.011726522;-0.011726522;0;0;0;259.9477577
14;01.10.2014;6.169196115;13.69269124;192.782324;358.0660103;6.169196115;6.169196115;-0.011718904;-0.011718904;-0.011718904;-0.011718904;-0.011718904;-0.011718904;0;0;0;259.9707049
15;02.10.2014;6.169255647;13.69269124;186.94038;364.9111039;6.169255647;6.169255647;-0.011670179;-0.011670179;-0.011670179;-0.011670179;-0.011670179;-0.011670179;0;0;0;260.0486548
16;03.10.2014;6.169315179;13.69269124;193.0537743;360.6688696;6.169315179;6.169315179;-0.011574692;-0.011574692;-0.011574692;-0.011574692;-0.011574692;-0.011574692;0;0;0;260.189228
17;04.10.2014;6.169374711;13.69269124;185.4993799;355.1807804;6.169374711;6.169374711;-0.011427133;-0.011427133;-0.011427133;-0.011427133;-0.011427133;-0.011427133;0;0;0;260.3996377
18;05.10.2014;6.169434243;13.69269124;190.9072377;353.9885196;6.169434243;6.169434243;-0.011222714;-0.011222714;-0.011222714;-0.011222714;-0.011222714;-0.011222714;0;0;0;260.6864736
19;06.10.2014;6.169493776;13.69269124;195.4146612;356.5365502;6.169493776;6.169493776;-0.010957334;-0.010957334;-0.010957334;-0.010957334;-0.010957334;-0.010957334;0;0;0;261.0554899
20;07.10.2014;6.169553308;13.69269124;192.2835905;363.5945511;6.169553308;6.169553308;-0.010627739;-0.010627739;-0.010627739;-0.010627739;-0.010627739;-0.010627739;0;0;0;261.5114038
21;08.10.2014;6.169612841;13.69269124;189.2406948;356.3912405;6.169612841;6.169612841;-0.010231665;-0.010231665;-0.010231665;-0.010231665;-0.010231665;-0.010231665;0;0;0;262.0577085
22;09.10.2014;6.169672373;13.69269124;195.3288214;360.6767283;6.169672373;6.169672373;-0.009767963;-0.009767963;-0.009767963;-0.009767963;-0.009767963;-0.009767963;0;0;0;262.6965034
23;10.10.2014;6.169731906;13.69269124;193.7312776;367.2042578;6.169731906;6.169731906;-0.009236701;-0.009236701;-0.009236701;-0.009236701;-0.009236701;-0.009236701;0;0;0;263.4283477
24;11.10.2014;6.169791439;13.69269124;193.8491869;359.5824658;6.169791439;6.169791439;-0.008639238;-0.008639238;-0.008639238;-0.008639238;-0.008639238;-0.008639238;0;0;0;264.2521401
25;12.10.2014;6.169850972;13.69269124;189.3788188;358.728828;6.169850972;6.169850972;-0.007978272;-0.007978272;-0.007978272;-0.007978272;-0.007978272;-0.007978272;0;0;0;265.1650271
26;13.10.2014;6.169910505;13.69269124;194.2626497;360.5403892;6.169910505;6.169910505;-0.00725785;-0.00725785;-0.00725785;-0.00725785;-0.00725785;-0.00725785;0;0;0;266.1623459
27;14.10.2014;6.169970038;13.69269124;195.1180114;371.8339925;6.169970038;6.169970038;-0.006483354;-0.006483354;-0.006483354;-0.006483354;-0.006483354;-0.006483354;0;0;0;267.2376025
28;15.10.2014;6.170029572;13.69269124;196.9887056;356.7256209;6.170029572;6.170029572;-0.005661446;-0.005661446;-0.005661446;-0.005661446;-0.005661446;-0.005661446;0;0;0;268.3824901
29;16.10.2014;6.170089105;13.69269124;199.2766116;367.0764753;6.170089105;6.170089105;-0.004799986;-0.004799986;-0.004799986;-0.004799986;-0.004799986;-0.004799986;0;0;0;269.5869481
30;17.10.2014;6.170148639;13.69269124;195.6901983;381.6936869;6.170148639;6.170148639;-0.003907914;-0.003907914;-0.003907914;-0.003907914;-0.003907914;-0.003907914;0;0;0;270.839266
31;18.10.2014;6.170208172;13.69269124;198.6591053;372.9838083;6.170208172;6.170208172;-0.002995106;-0.002995106;-0.002995106;-0.002995106;-0.002995106;-0.002995106;0;0;0;272.1262311
32;19.10.2014;6.170267706;13.69269124;200.252798;368.4967491;6.170267706;6.170267706;-0.0020722;-0.0020722;-0.0020722;-0.0020722;-0.0020722;-0.0020722;0;0;0;273.4333216
33;20.10.2014;6.17032724;13.69269124;203.2215958;379.791587;6.17032724;6.17032724;-0.001150405;-0.001150405;-0.001150405;-0.001150405;-0.001150405;-0.001150405;0;0;0;274.7449428
34;21.10.2014;6.170386774;13.69269124;200.3159717;375.8512149;6.170386774;6.170386774;-0.000241282;-0.000241282;-0.000241282;-0.000241282;-0.000241282;-0.000241282;0;0;0;276.0447044
35;22.10.2014;6.170446308;13.69269124;200.1625853;374.4943481;6.170446308;6.170446308;0.000643475;0.000643475;0.000643475;0.000643475;0.000643475;0.000643475;0;0;0;277.3157341
36;23.10.2014;6.170505842;13.69269124;203.2973581;387.4528668;6.170505842;6.170505842;0.001492281;0.001492281;0.001492281;0.001492281;0.001492281;0.001492281;0;0;0;278.5410218
37;24.10.2014;6.170565376;13.69269124;206.5824204;379.5879133;6.170565376;6.170565376;0.002293894;0.002293894;0.002293894;0.002293894;0.002293894;0.002293894;0;0;0;279.7037856
38;25.10.2014;6.17062491;13.69269124;204.114013;390.8810093;6.17062491;6.17062491;0.00303765;0.00303765;0.00303765;0.00303765;0.00303765;0.00303765;0;0;0;280.7878515
39;26.10.2014;6.170684445;13.69269124;207.883591;383.130204;6.170684445;6.170684445;0.003713689;0.003713689;0.003713689;0.003713689;0.003713689;0.003713689;0;0;0;281.7780343
40;27.10.2014;6.170743979;13.69269124;203.0573211;386.0109681;6.170743979;6.170743979;0.004313165;0.004313165;0.004313165;0.004313165;0.004313165;0.004313165;0;0;0;282.6605091
41;28.10.2014;6.170803514;13.69269124;203.9188891;395.1161159;6.170803514;6.170803514;0.004828437;0.004828437;0.004828437;0.004828437;0.004828437;0.004828437;0;0;0;283.4231604
42;29.10.2014;6.170863049;13.69269124;204.2468998;382.5331678;6.170863049;6.170863049;0.005253238;0.005253238;0.005253238;0.005253238;0.005253238;0.005253238;0;0;0;284.0558959
43;30.10.2014;6.170922583;13.69269124;207.6707455;386.626628;6.170922583;6.170922583;0.00558281;0.00558281;0.00558281;0.00558281;0.00558281;0.00558281;0;0;0;284.5509146
44;31.10.2014;6.170982118;13.69269124;198.9310692;387.8831355;6.170982118;6.170982118;0.005814011;0.005814011;0.005814011;0.005814011;0.005814011;0.005814011;0;0;0;284.9029179
